,,,,,,,,,,,
Ángulo del crista,Imp/s tasa de 35kV,,,,,,,,,,
theta/°, 0.1 mA,0.2mA,0.3mA,0.4mA,0.5mA,0.6mA,0.7mA,0.8mA,0.9mA,1.0mA,
19,83,171,264,334,438,504,615,695,729,800,
19.1,80,161,272,315,430,521,560,674,728,810,
19.2,70,161,252,346,409,489,620,672,764,814,
19.3,75,163,248,316,425,503,567,659,778,838,
19.4,59,174,244,338,426,508,560,655,758,813,
19.5,79,174,244,362,385,507,562,678,766,811,
19.6,76,173,264,338,458,527,590,704,758,827,
19.7,86,165,276,334,455,551,595,697,794,869,
19.8,78,184,277,368,462,553,632,713,788,913,
19.9,91,165,311,405,485,589,693,762,851,1017,
20,94,216,343,452,566,672,807,884,991,1044,
20.1,148,303,465,632,719,914,1062,1190,1328,1418,
20.2,544,1022,1613,2021,2593,2973,3397,3769,3963,4323,
20.3,1187,2281,3330,4322,5454,6235,6851,7503,7863,8350,
20.4,1484,2889,4231,5672,6710,7557,8267,8886,9120,9002,
20.5,1101,2251,3268,4183,5284,6245,6942,7494,8040,8570,
20.6,991,1912,2800,3594,4413,5226,6037,6526,7147,7626,
20.7,496,1000,1461,1970,2513,2906,3406,3785,4403,4939,
20.8,157,370,564,749,949,1138,1362,1520,1735,1909,
20.9,108,205,314,421,541,631,740,813,931,1053,
21,80,159,276,367,473,564,0,740,820,940,
21.1,63,171,248,360,409,523,621,697,737,813,
21.2,73,159,226,326,384,482,567,599,714,773,
21.3,77,142,228,308,369,481,542,638,702,784,
21.4,73,144,232,284,372,445,522,581,646,723,
21.5,62,125,208,278,372,419,513,556,635,688,
21.6,67,146,225,298,336,430,537,567,633,707,
21.7,61,139,219,259,359,438,513,583,639,699,
21.8,63,145,209,258,340,448,475,534,648,666,
21.9,71,137,200,286,348,381,463,557,598,685,
22,58,125,210,258,314,399,489,529,586,657,
22.1,60,133,216,264,344,401,462,550,573,676,
22.2,65,146,213,270,329,411,473,529,589,665,
22.3,72,136,191,285,326,402,456,515,605,671,
22.4,55,123,196,247,307,432,458,521,635,638,
22.5,65,118,196,260,328,387,457,532,573,624,
22.6,59,123,0,265,334,360,451,510,549,651,
22.7,58,128,192,250,311,362,451,514,567,616,
22.8,50,106,206,251,317,371,409,485,532,628,
22.9,54,103,178,231,310,345,436,486,517,613,
23,54,122,175,246,310,368,421,468,551,616,
23.1,52,114,184,245,308,366,396,497,538,577,
23.2,54,106,181,229,276,365,402,470,0,572,
23.3,57,119,153,237,298,355,402,466,538,550,
23.4,56,122,184,234,289,360,406,463,517,585,
23.5,44,124,170,212,283,341,388,418,527,528,
23.6,50,113,170,223,281,318,391,478,487,622,
23.7,51,102,170,231,291,337,398,454,517,559,
23.8,46,114,162,223,282,327,395,455,495,589,
23.9,46,116,165,220,282,331,396,431,480,561,
24,45,121,153,233,301,329,367,437,520,553,
